GEOID,outage_duration_hr,mean_cust_affected,cust_affected_flag
06023011000,14.51,1,0
06085502702,4.17,31,0
06097152400,8.34,1,0
06095253500,41.34,1,0
06001410000,7.01,4,0
06115040700,58.84,1,0
06085506601,0.17,1,0
06095253500,7.34,1,0
06001404400,0.17,30,0
06079013000,6.01,1,0
06029002301,3.67,7,0
06031000200,1.33,1,0
06081606200,0.5,1,0
06079010403,1.17,8,0
06013343001,4.33,1,0
06055200703,3.67,1,0
06031000402,1.33,1,0
06113010401,12.17,1,0
06103000600,4.5,1,0
06053010606,2.5,3,0
06085500500,0.84,1,0
06113010401,11.5,1,0
06053011102,6.83,1,0
06013352201,0.17,6,0
06113011204,13,1,0
06039000400,3,13,0
06087120301,3.33,5,0
06001451101,2,33,0
06023000300,2.67,5,0
06017031502,1.67,1,0
06079011704,0.67,1,0
06075021100,6.67,296,1
06075022600,6.83,48,0
06075021100,6.67,97,1
06075021100,6.67,100,1
06047000901,4.17,1,0
06075021100,6.83,45,0
06001432400,5,1,0
06001430900,10.01,4,0
06081609201,6.34,17,0
06075021100,6.67,10.5,0
06009000210,4.5,6,0
06031001601,20.5,27,0
06019006405,0.5,137,1
06019002400,0.5,1,0
06047000901,1.34,3,0
06001450601,9.34,1,0
06013347000,0.17,1,0
06013347000,0.17,1,0
06077005206,1.67,3,0
06013347000,0,11,0
06013347000,0,21,0
06019005403,1,1,0
06055201403,0.17,504,1
06075061500,0.66,7,0
06079012704,11.17,505,1
06007000604,0.84,1,0
06013307205,0,1,0
06085506503,13.33,94,1
06085506503,0.67,2,0
06085502604,1,1308,1
06085503401,1.17,1,0
06039000102,2.33,1,0
06001408200,0,1,0
06001407900,3.17,1,0
06085506606,0.5,11,0
06095253300,1.17,1,0
06085506606,0,1,0
06013334004,4.5,1,0
06079010016,7.99,19,0
06001423200,1.99,36,0
06085512200,14,12.5,0
06075035201,1.17,1,0
06085503903,0.34,1,0
06079010016,7.83,4,0
06013346101,15.16,14.5,0
06089012701,8.99,4,0
06083002402,4.67,1,0
06085506503,10.99,2,0
06019007801,11.83,1,0
06019007801,11.83,1,0
06019007801,11.83,1,0
06089011900,1.82,54,0
06013355306,1.33,5.5,0
06081604101,2.16,1,0
06089012200,1.83,837,1
06079012900,0,1,0
06079012900,0,4,0
06001410400,3.68,1,0
06079012900,0,2,0
06079012900,0,1,0
06019005602,3,4.5,0
06075023400,21.67,1,0
06113011500,9.5,28,0
06113011400,1.17,1,0
06079012900,5.84,57,0
06079012900,0,1,0
06079012900,0,1,0
06019003900,2.34,1,0
06079012704,7.5,1,0
06113011400,8,1,0
06057000105,2.83,2,0
06075047802,1.16,1,0
06053010305,2.33,1,0
06013358000,6.33,5,0
06021010200,1.33,1,0
06097152702,4.83,1,0
06013301000,2,1,0
06083001906,7.5,89,1
06089012604,0.34,1,0
06057000801,2.33,2,0
06013338301,2.84,9,0
06045011102,0.66,1,0
06013318000,0.66,1,0
06033001000,1.83,15.5,0
06039001000,4.16,1,0
06029003122,8.66,37.5,0
06031000500,2.49,2,0
06077002800,3.99,77,1
06079011701,9.66,116,1
06103000200,1.83,1,0
06017031504,1.99,2,0
06019003900,3.33,1,0
06019006404,1.66,1,0
06085502902,1.83,1,0
06001440301,1.83,1,0
06089012603,0.16,1,0
06055201401,1.66,1,0
06089012601,6.83,4,0
06031001200,2.84,4,0
06081606800,1.83,1,0
06019006404,2.84,1,0
06075010400,1.5,1,0
06097154201,3.34,3,0
06075021200,2.84,1,0
06089011500,3.34,12,0
06089012603,0.16,3,0
06089012200,0.16,1,0
06083002502,8.66,9,0
06019006404,2.5,3,0
06057000102,2.67,12,0
06097154100,1.17,105,1
